Laptop Name,Release Date,Order No.,Model No.,ID,Video Memory,Storage,Optical Drive,URL,CPU Cores,CPU Name,CPU Frequency,Memory Capacity,RAM Type,RAM Speed,GPU,GPU Type,GPU Standard VRAM,GPU Max VRAM,Display Resolution
"MacBook Pro 15"" ""Core 2 Duo"" 2.33","October 24, 2006",MA610LL,A1211,"MacBookPro2,2",256 MB,120 GB HDD,"6X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-2-duo-2.33-15-specs.html,2,Core 2 Duo (T7600) ,2.33 GHz ,"2 GB,4 GB*",PC2-5300 DDR2,667 MHz,Radeon X1600,GDDR3 SDRAM,256 MB,256 MB,1440x900
"MacBook Pro 17"" ""Core Duo"" 2.16","April 24, 2006",MA092LL/A,A1151,"MacBookPro1,2",256 MB,120 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook_pro_2.16_17.html,2,Core Duo (T2600) ,2.16 GHz ,"1 GB,2 GB",PC2-5300 DDR2,667 MHz,Radeon X1600,GDDR3 SDRAM,256 MB,256 MB,1680x1050
"MacBook Pro 15"" ""Core Duo"" 2.0","February 14, 2006",MA464LL/A*,A1150,"MacBookPro1,1","128 MB, 256 MB","80, 100 GB HDD","4X SL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook_pro_2.0.html,2,Core Duo (T2500) ,2.0 GHz ,"512 MB, 1 GB,2 GB",PC2-5300 DDR2,667 MHz,Radeon X1600,GDDR3 SDRAM,"128 MB, 256 MB","128 MB, 256 MB",1440x900
"MacBook Pro 13"" ""Core 2 Duo"" 2.53 (SD/FW)","June 8, 2009",MB991LL/A,A1278,"MacBookPro5,5",256 MB,250 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-2-duo-2.53-aluminum-13-mid-2009-sd-firewire-800-unibody-specs.html,2,Core 2 Duo (P8700) ,2.53 GHz ,"4 GB,8 GB",PC3-8500 DDR3,1066 MHz,GeForce 9400M,Integrated,256 MB,256 MB,1280x800
"MacBook Pro 15"" ""Core 2 Duo"" 2.53 (SD)","June 8, 2009",MC118LL/A,A1286,"MacBookPro5,4",256 MB,250 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-2-duo-2.53-aluminum-15-mid-2009-sd-unibody-specs.html,2,Core 2 Duo (P8700) ,2.53 GHz ,"4 GB,8 GB",PC3-8500 DDR3,1066 MHz,GeForce 9400M,Integrated,256 MB,256 MB,1440x900
"MacBook Pro 15"" ""Core Duo"" 1.83","January 10, 2006*",MA463LL/A*,A1150,"MacBookPro1,1",128 MB,80 GB HDD,"4X SL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook_pro_1.83.html,2,Core Duo (T2400) ,1.83 GHz ,"512 MB,2 GB",PC2-5300 DDR2,667 MHz,Radeon X1600,GDDR3 SDRAM,128 MB,128 MB,1440x900
"MacBook Pro 13"" ""M1"" 8-Core 3.2 (2020)","November 10, 2020*",MYDA2LL/A*,A2338,"MacBookPro17,1",Integrated,"256, 512 GB SSD",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-m1-8-core-13-2020-specs.html,8,Apple M1 ,3.2 GHz ,"8 GB*,16 GB*",Unified*,N/A,8-Core,Integrated,Integrated,Integrated,2560x1600
"MacBook Pro 16"" ""Core i9"" 2.3 2019 5600M","June 15, 2020*",BTO/CTO,A2141,"MacBookPro16,4",8 GB,1 TB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i9-2.3-eight-core-16-2019-5600m-16-4-scissor-specs.html,8,Core i9 (I9-9880H) ,2.3 GHz ,"16 GB*,64 GB*",DDR4 SDRAM*,2666 MHz,Radeon Pro 5600M,HMB2,8 GB,8 GB,3072x1920
"MacBook Pro 16"" ""Core i7"" 2.6 2019 5600M","June 15, 2020*",BTO/CTO,A2141,"MacBookPro16,4",8 GB,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.6-six-core-16-2019-5600m-16-4-scissor-specs.html,6,Core i7 (I7-9750H) ,2.6 GHz ,"16 GB*,64 GB*",DDR4 SDRAM*,2666 MHz,Radeon Pro 5600M,HMB2,8 GB,8 GB,3072x1920
"MacBook Pro 13"" ""Core i7"" 1.7 2020 2 TB 3","May 4, 2020",BTO/CTO,A2289,"MacBookPro16,3",N/A*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-1.7-quad-core-13-2020-2-thunderbolt-3-ports-scissor-specs.html,4,Core i7 (I7-8557U) ,1.7 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 645,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 16"" ""Core i9"" 2.4 2019 5600M","June 15, 2020*",BTO/CTO,A2141,"MacBookPro16,4",8 GB,"512 GB, 1 TB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i9-2.4-eight-core-16-2019-5600m-16-4-scissor-specs.html,8,Core i9 (I9-9980HK) ,2.4 GHz ,"16 GB*,64 GB*",DDR4 SDRAM*,2666 MHz,Radeon Pro 5600M,HMB2,8 GB,8 GB,3072x1920
"MacBook Pro 13"" ""Core i7"" 2.3 2020 4 TB 3","May 4, 2020",BTO/CTO,A2251,"MacBookPro16,2",N/A*,"512 GB, 1 TB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.3-quad-core-13-2020-4-thunderbolt-3-ports-scissor-specs.html,4,Core i7 (I7-1068NG7) ,2.3 GHz ,"16 GB*,32 GB*",LPDDR4X SDRAM*,3733 MHz,Iris Plus,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 13"" ""Core i5"" 2.0 2020 4 TB 3","May 4, 2020",MWP72LL/A*,A2251,"MacBookPro16,2",N/A*,"512 GB, 1 TB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.0-quad-core-13-2020-4-thunderbolt-3-ports-scissor-specs.html,4,Core i5 (I5-1038NG7) ,2.0 GHz ,"16 GB*,32 GB*",LPDDR4X SDRAM*,3733 MHz,Iris Plus,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 13"" ""Core i5"" 1.4 2020 2 TB 3","May 4, 2020",MXK62LL/A*,A2289,"MacBookPro16,3",N/A*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-1.4-quad-core-13-2020-2-thunderbolt-3-ports-scissor-specs.html,4,Core i5 (I5-8257U) ,1.4 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 645,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 16"" ""Core i9"" 2.4 2019","November 13, 2019",BTO/CTO,A2141,"MacBookPro16,1",4 GB*,"512 GB, 1 TB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i9-2.4-eight-core-16-2019-scissor-specs.html,8,Core i9 (I9-9980HK) ,2.4 GHz ,"16 GB*,64 GB*",DDR4 SDRAM*,2666 MHz,Radeon Pro 5300M/5500M*,GDDR6,4 GB*,8 GB*,3072x1920
"MacBook Pro 13"" ""Core i7"" 1.7 Touch/2019 2 TB 3","July 9, 2019",BTO/CTO,A2159,"MacBookPro15,4",N/A*,"128, 256 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-1.7-quad-core-13-2019-touch-bar-2-thunderbolt-3-ports-specs.html,4,Core i7 (I7-8557U) ,1.7 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 645,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 16"" ""Core i9"" 2.3 2019","November 13, 2019",MVVM2LL/A*,A2141,"MacBookPro16,1",4 GB*,1 TB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i9-2.3-eight-core-16-2019-scissor-specs.html,8,Core i9 (I9-9880H) ,2.3 GHz ,"16 GB*,64 GB*",DDR4 SDRAM*,2666 MHz,Radeon Pro 5500M*,GDDR6,4 GB*,8 GB*,3072x1920
"MacBook Pro 16"" ""Core i7"" 2.6 2019","November 13, 2019",MVVL2LL/A*,A2141,"MacBookPro16,1",4 GB*,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.6-six-core-16-2019-scissor-specs.html,6,Core i7 (I7-9750H) ,2.6 GHz ,"16 GB*,64 GB*",DDR4 SDRAM*,2666 MHz,Radeon Pro 5300M*,GDDR6,4 GB*,"4 GB, 8 GB*",3072x1920
"MacBook Pro 13"" ""Core i5"" 1.4 Touch/2019 2 TB 3","July 9, 2019",MUHN2LL/A*,A2159,"MacBookPro15,4",N/A*,"128, 256 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-1.4-quad-core-13-2019-touch-bar-2-thunderbolt-3-ports-specs.html,4,Core i5 (I5-8257U) ,1.4 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 645,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 15"" ""Core i9"" 2.4 Touch/2019","May 21, 2019",BTO/CTO,A1990,"MacBookPro15,1",4 GB*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i9-2.4-eight-core-15-mid-2019-touch-bar-specs.html,8,Core i9 (I9-9980HK) ,2.4 GHz ,"16 GB*,32 GB*",DDR4 SDRAM*,2400 MHz,Radeon Pro 555X/560X*,GDDR5,4 GB*,4 GB*,2880x1800
"MacBook Pro 15"" ""Core i9"" 2.3 Touch/2019 Vega","May 21, 2019",BTO/CTO,A1990,"MacBookPro15,3",4 GB*,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i9-2.3-eight-core-15-mid-2019-touch-bar-vega-16-vega-20-specs.html,8,Core i9 (I9-9880H) ,2.3 GHz ,"16 GB*,32 GB*",DDR4 SDRAM*,2400 MHz,Radeon Pro Vega 16/20*,HMB2,4 GB*,4 GB*,2880x1800
"MacBook Pro 15"" ""Core i9"" 2.4 Touch/2019 Vega","May 21, 2019",BTO/CTO,A1990,"MacBookPro15,3",4 GB*,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i9-2.4-eight-core-15-mid-2019-touch-bar-vega-16-vega-20-specs.html,8,Core i9 (I9-9980HK) ,2.4 GHz ,"16 GB*,32 GB*",DDR4 SDRAM*,2400 MHz,Radeon Pro Vega 16/20*,HMB2,4 GB*,4 GB*,2880x1800
"MacBook Pro 15"" ""Core i9"" 2.3 Touch/2019","May 21, 2019",MV912LL/A*,A1990,"MacBookPro15,1",4 GB*,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i9-2.3-eight-core-15-mid-2019-touch-bar-specs.html,8,Core i9 (I9-9880H) ,2.3 GHz ,"16 GB*,32 GB*",DDR4 SDRAM*,2400 MHz,Radeon Pro 560X*,GDDR5,4 GB*,4 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.6 Touch/2019","May 21, 2019",MV902LL/A*,A1990,"MacBookPro15,1",4 GB*,256 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.6-six-core-15-mid-2019-touch-bar-specs.html,6,Core i7 (I7-9750H) ,2.6 GHz ,"16 GB*,32 GB*",DDR4 SDRAM*,2400 MHz,Radeon Pro 555X*,GDDR5,4 GB*,4 GB*,2880x1800
"MacBook Pro 13"" ""Core i7"" 2.8 Touch/2019","May 21, 2019",MV982LL/A,A1989,"MacBookPro15,2",N/A*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.8-quad-core-13-mid-2019-touch-bar-specs.html,4,Core i7 (I7-8569U) ,2.8 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 655,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 15"" ""Core i9"" 2.9 Touch/2018","July 12, 2018",BTO/CTO,A1990,"MacBookPro15,1",4 GB,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i9-2.9-15-mid-2018-true-tone-display-touch-bar-specs.html,6,Core i9 (I9-8950HK) ,2.9 GHz ,"16 GB*,32 GB*",DDR4 SDRAM*,2400 MHz,Radeon Pro 555X/560X*,GDDR5,4 GB,4 GB*,2880x1800
"MacBook Pro 13"" ""Core i5"" 2.4 Touch/2019","May 21, 2019",MV962LL/A*,A1989,"MacBookPro15,2",N/A*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.4-quad-core-13-mid-2019-touch-bar-specs.html,4,Core i5 (I5-8279U) ,2.4 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 655,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 15"" ""Core i9"" 2.9 Touch/2018 Vega","November 14, 2018*",BTO/CTO,A1990,"MacBookPro15,3",4 GB,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i9-2.9-15-mid-2018-true-tone-display-touch-bar-vega-16-vega-20-specs.html,6,Core i9 (I9-8950HK) ,2.9 GHz ,"16 GB*,32 GB*",DDR4 SDRAM*,2400 MHz,Radeon Pro Vega 16/20*,HBM2,4 GB,4 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.6 Touch/2018 Vega","November 14, 2018*",BTO/CTO,A1990,"MacBookPro15,3",4 GB,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.6-15-mid-2018-true-tone-display-touch-bar-vega-16-vega-20-specs.html,6,Core i7 (I7-8850H) ,2.6 GHz ,"16 GB*,32 GB*",DDR4 SDRAM*,2400 MHz,Radeon Pro Vega 16/20*,HBM2,4 GB,4 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.6 Touch/2018","July 12, 2018*",MR942LL/A*,A1990,"MacBookPro15,1",4 GB,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.6-15-mid-2018-true-tone-display-touch-bar-specs.html,6,Core i7 (I7-8850H) ,2.6 GHz ,"16 GB*,32 GB*",DDR4 SDRAM*,2400 MHz,Radeon Pro 560X*,GDDR5,4 GB,4 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.9 Touch/Mid-2017","June 5, 2017",MPTT2LL/A*,A1707,"MacBookPro14,3",4 GB*,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.9-15-mid-2017-retina-display-touch-bar-specs.html,4,Core i7 (I7-7820HQ) ,2.9 GHz ,"16 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Radeon Pro 560*,GDDR5,4 GB*,4 GB*,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.2 Touch/2018","July 12, 2018",MR932LL/A*,A1990,"MacBookPro15,1",4 GB*,256 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.2-15-mid-2018-true-tone-display-touch-bar-specs.html,6,Core i7 (I7-8750H) ,2.2 GHz ,"16 GB*,32 GB*",DDR4 SDRAM*,2400 MHz,Radeon Pro 555X*,GDDR5,4 GB*,4 GB**,2880x1800
"MacBook Pro 13"" ""Core i5"" 2.3 Touch/2018","July 12, 2018",MR9Q2LL/A*,A1989,"MacBookPro15,2",N/A*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.3-13-mid-2018-true-tone-display-touch-bar-specs.html,4,Core i5 (I5-8259U) ,2.3 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 655,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 13"" ""Core i7"" 2.7 Touch/2018","July 12, 2018",BTO/CTO,A1989,"MacBookPro15,2",N/A*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.7-13-mid-2018-true-tone-display-touch-bar-specs.html,4,Core i7 (I7-8559U) ,2.7 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 655,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 15"" ""Core i7"" 3.1 Touch/Mid-2017","June 5, 2017",BTO/CTO,A1707,"MacBookPro14,3","2, 4 GB*","256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-3.1-15-mid-2017-retina-display-touch-bar-specs.html,4,Core i7 (I7-7920HQ) ,3.1 GHz ,"16 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Radeon Pro 555/560*,GDDR5,"2, 4 GB*","2, 4 GB*",2880x1800
"MacBook Pro 15"" ""Core i7"" 2.8 Touch/Mid-2017","June 5, 2017",MPTR2LL/A*,A1707,"MacBookPro14,3",2 GB*,256 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.8-15-mid-2017-retina-display-touch-bar-specs.html,4,Core i7 (I7-7700HQ) ,2.8 GHz ,"16 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Radeon Pro 555*,GDDR5,2 GB*,2 GB**,2880x1800
"MacBook Pro 13"" ""Core i7"" 3.5 Touch/Mid-2017","June 5, 2017",BTO/CTO,A1706,"MacBookPro14,2",N/A*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-3.5-13-mid-2017-retina-display-touch-bar-specs.html,2,Core i7 (I7-7567U) ,3.5 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 650,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 13"" ""Core i5"" 3.3 Touch/Mid-2017","June 5, 2017",BTO/CTO,A1706,"MacBookPro14,2",N/A*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-3.3-13-mid-2017-retina-display-touch-bar-specs.html,2,Core i5 (I5-7287U) ,3.3 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 650,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 13"" ""Core i5"" 3.1 Touch/Mid-2017","June 5, 2017",MPXV2LL/A*,A1706,"MacBookPro14,2",N/A*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-3.1-13-mid-2017-retina-display-touch-bar-specs.html,2,Core i5 (I5-7267U) ,3.1 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 650,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 15"" ""Core i7"" 2.9 Touch/Late 2016","October 27, 2016*",BTO/CTO,A1707,"MacBookPro13,3",2 GB*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.9-15-late-2016-retina-display-touch-bar-specs.html,4,Core i7 (I7-6920HQ) ,2.9 GHz ,"16 GB,16 GB",LPDDR3 SDRAM*,2133 MHz,Radeon Pro 450/455*,GDDR5,2 GB*,4 GB**,2880x1800
"MacBook Pro 15"" ""Core i7"" 2.7 Touch/Late 2016","October 27, 2016*",MLH42LL/A*,A1707,"MacBookPro13,3",2 GB*,512 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.7-15-late-2016-retina-display-touch-bar-specs.html,4,Core i7 (I7-6820HQ) ,2.7 GHz ,"16 GB,16 GB",LPDDR3 SDRAM*,2133 MHz,Radeon Pro 455,GDDR5,2 GB*,4 GB**,2880x1800
"MacBook Pro 13"" ""Core i7"" 2.5 Mid-2017","June 5, 2017",BTO/CTO,A1708,"MacBookPro14,1",N/A*,"128, 256 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.5-13-mid-2017-retina-display-no-touch-bar-specs.html,2,Core i7 (I7-7660U) ,2.5 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 640,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 13"" ""Core i5"" 2.3 Mid-2017","June 5, 2017",MPXQ2LL/A*,A1708,"MacBookPro14,1",N/A*,"128, 256 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-2.3-13-mid-2017-retina-display-no-touch-bar-specs.html,2,Core i5 (I5-7360U) ,2.3 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Plus Graphics 640,Integrated,N/A*,N/A*,2560x1600
"MacBook Pro 15"" ""Core i7"" 2.6 Touch/Late 2016","October 27, 2016*",MLH32LL/A*,A1707,"MacBookPro13,3",2 GB*,256 GB SSD*,None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-2.6-15-late-2016-retina-display-touch-bar-specs.html,4,Core i7 (I7-6700HQ) ,2.6 GHz ,"16 GB,16 GB",LPDDR3 SDRAM*,2133 MHz,Radeon Pro 450,GDDR5,2 GB*,4 GB**,2880x1800
"MacBook Pro 13"" ""Core i5"" 3.1 Touch/Late 2016","October 27, 2016*",BTO/CTO,A1706,"MacBookPro13,2",1.5 GB*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i5-3.1-13-late-2016-retina-display-touch-bar-specs.html,2,Core i5 (I5-6287U) ,3.1 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Graphics 550,Integrated,1.5 GB*,1.5 GB*,2560x1600
"MacBook Pro 13"" ""Core i7"" 3.3 Touch/Late 2016","October 27, 2016*",BTO/CTO,A1706,"MacBookPro13,2",1.5 GB*,"256, 512 GB SSD*",None*,https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-i7-3.3-13-late-2016-retina-display-touch-bar-specs.html,2,Core i7 (I7-6567U) ,3.3 GHz ,"8 GB*,16 GB*",LPDDR3 SDRAM*,2133 MHz,Iris Graphics 550,Integrated,1.5 GB*,1.5 GB*,2560x1600
